,title,price,link
0,"

Lenovo ThinkBook 15 G5 AMD Ryzen 7 7730U 15.6"" FHD Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Fingerprint Reader/Backlit/Mineral Grey/1 Year Onsite/1.7 kg), 21JFA00BIN

","44,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NzAyMjYyODkzNzMyMzExOjE3MzIwMzQ1MTE6c3BfYXRmOjMwMDM0Nzc0MzEwMjYzMjo6MDo6&url=%2FLenovo-ThinkBook-Antiglare-Fingerprint-21JFA00BIN%2Fdp%2FB0CGCRRC1Z%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2PE3NWMB9DUYX%26dib%3DeyJ2IjoiMSJ9.gZoZh4KP_9xAMP4BMWxHmkbOlf6_ck-voh6UnfZnbkzW21vH1RhQwc0znbcJTQiC4kf5fpmq-jARJV-4Iw9IsD6tbtsNxIxmoTILXiShQCEm8kRVz512NP_9tbGlmguv5VVzuW5K8WhkVBbsi7bGP34pKQDh1yalKb5KS1nHwPdoYg9nQWvQdgfkVClzytlyZXce0xeNXpHUJrkpjI5cVog3L_-YXkEz2P6TbBM53ds.BMYd6c19-G04ZuBSP0PxfrtiguYcP6-zIdRXkjyKTPs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732034510%26sprefix%3Dlaptops%252Caps%252C111%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Lenovo ThinkBook 16 Ryzen 7 16"" WUXGA IPS Antiglare 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/FPR/Office 2021/Arctic Grey/1 Year Onsite/1.7 kg), 21KKA0G1IN  ","57,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NzAyMjYyODkzNzMyMzExOjE3MzIwMzQ1MTE6c3BfYXRmOjMwMDM3MjI2MTI1MDUzMjo6MDo6&url=%2FLenovo-ThinkBook-Antiglare-Windows-21KKA0G1IN%2Fdp%2FB0DFHHFLRJ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2PE3NWMB9DUYX%26dib%3DeyJ2IjoiMSJ9.gZoZh4KP_9xAMP4BMWxHmkbOlf6_ck-voh6UnfZnbkzW21vH1RhQwc0znbcJTQiC4kf5fpmq-jARJV-4Iw9IsD6tbtsNxIxmoTILXiShQCEm8kRVz512NP_9tbGlmguv5VVzuW5K8WhkVBbsi7bGP34pKQDh1yalKb5KS1nHwPdoYg9nQWvQdgfkVClzytlyZXce0xeNXpHUJrkpjI5cVog3L_-YXkEz2P6TbBM53ds.BMYd6c19-G04ZuBSP0PxfrtiguYcP6-zIdRXkjyKTPs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732034510%26sprefix%3Dlaptops%252Caps%252C111%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Starlight  ","99,900",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NzAyMjYyODkzNzMyMzExOjE3MzIwMzQ1MTE6c3BfbXRmOjMwMDM5Mjk2MzMyODIzMjo6MDo6&url=%2F2022-Apple-MacBook-Laptop-chip%2Fdp%2FB0DLHG997J%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2PE3NWMB9DUYX%26dib%3DeyJ2IjoiMSJ9.gZoZh4KP_9xAMP4BMWxHmkbOlf6_ck-voh6UnfZnbkzW21vH1RhQwc0znbcJTQiC4kf5fpmq-jARJV-4Iw9IsD6tbtsNxIxmoTILXiShQCEm8kRVz512NP_9tbGlmguv5VVzuW5K8WhkVBbsi7bGP34pKQDh1yalKb5KS1nHwPdoYg9nQWvQdgfkVClzytlyZXce0xeNXpHUJrkpjI5cVog3L_-YXkEz2P6TbBM53ds.BMYd6c19-G04ZuBSP0PxfrtiguYcP6-zIdRXkjyKTPs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732034510%26sprefix%3Dlaptops%252Caps%252C111%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"HP Laptop 245 G9 (2024), AMD Ryzen 3 3250U Dual Core - (16GB/512GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 (35.56cm)/Silver/1.47 kg/MS Office 2021 Pro Plus  ","30,890",https://amazon.in//HP-Laptop-245-G9-Ryzen/dp/B0DJCZB7QS/ref=sr_1_77?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.GAxaxdVEnGIFnDC6HB3LSx8iHv0CR7xo_GwL2t13wki6AYYjwhoEIypuWEcWhd3BMJPacxJHY3N80oD_18nqq9n-F14n5lBYboTDXrz8bDRkwhWd0q46b1CZQaEtiw0mrssO4RORYjAvVaBabDhtEORgJBf1Ni539DDpJKZP9flDDpllvcdzAk2lKda8J7-R88gmJjZ2tR_BwKmCgfWiiqUJZycGotv3tv0ZNT5Nm2Q.C7aUGHjBG88fQ-vWpPKKBYjmrCzOkSAZQTgujmZPjoM&dib_tag=se&keywords=laptop&qid=1732034528&sprefix=laptops%2Caps%2C111&sr=8-77
4,"MSI Cyborg 15, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (8GBx2/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 2050, GDDR6 4GB/Black/1.98Kg), A12UCX-264IN  ","52,990",https://amazon.in//MSI-Cyborg-15-i5-12450H-A12UCX-264IN/dp/B0C3HZ82LH/ref=sr_1_79?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.GAxaxdVEnGIFnDC6HB3LSx8iHv0CR7xo_GwL2t13wki6AYYjwhoEIypuWEcWhd3BMJPacxJHY3N80oD_18nqq9n-F14n5lBYboTDXrz8bDRkwhWd0q46b1CZQaEtiw0mrssO4RORYjAvVaBabDhtEORgJBf1Ni539DDpJKZP9flDDpllvcdzAk2lKda8J7-R88gmJjZ2tR_BwKmCgfWiiqUJZycGotv3tv0ZNT5Nm2Q.C7aUGHjBG88fQ-vWpPKKBYjmrCzOkSAZQTgujmZPjoM&dib_tag=se&keywords=laptop&qid=1732034528&sprefix=laptops%2Caps%2C111&sr=8-79
5,"Lenovo LOQ 2024 AMD Ryzen 7 7435HS 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (24GB/512GB SSD/Win 11/NVIDIA RTX 4060 8GB Graphics/100% sRGB/Office 21/1Yr ADP Free/Grey/2.4Kg), 83JC0046IN  ","92,000",https://amazon.in//Lenovo-7435HS-300Nits-Graphics-83JC0046IN/dp/B0D78PBRSP/ref=sr_1_80?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.GAxaxdVEnGIFnDC6HB3LSx8iHv0CR7xo_GwL2t13wki6AYYjwhoEIypuWEcWhd3BMJPacxJHY3N80oD_18nqq9n-F14n5lBYboTDXrz8bDRkwhWd0q46b1CZQaEtiw0mrssO4RORYjAvVaBabDhtEORgJBf1Ni539DDpJKZP9flDDpllvcdzAk2lKda8J7-R88gmJjZ2tR_BwKmCgfWiiqUJZycGotv3tv0ZNT5Nm2Q.C7aUGHjBG88fQ-vWpPKKBYjmrCzOkSAZQTgujmZPjoM&dib_tag=se&keywords=laptop&qid=1732034528&sprefix=laptops%2Caps%2C111&sr=8-80
6,"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Core - (16GB/512GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.47 kg/MS Office 2021 Pro Plus  ","35,400",https://amazon.in//HP-Laptop-255-G9-Ryzen/dp/B0DJCTH9ZD/ref=sr_1_81?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.GAxaxdVEnGIFnDC6HB3LSx8iHv0CR7xo_GwL2t13wki6AYYjwhoEIypuWEcWhd3BMJPacxJHY3N80oD_18nqq9n-F14n5lBYboTDXrz8bDRkwhWd0q46b1CZQaEtiw0mrssO4RORYjAvVaBabDhtEORgJBf1Ni539DDpJKZP9flDDpllvcdzAk2lKda8J7-R88gmJjZ2tR_BwKmCgfWiiqUJZycGotv3tv0ZNT5Nm2Q.C7aUGHjBG88fQ-vWpPKKBYjmrCzOkSAZQTgujmZPjoM&dib_tag=se&keywords=laptop&qid=1732034528&sprefix=laptops%2Caps%2C111&sr=8-81
7,"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021 Pro Plus  ","33,490",https://amazon.in//Lenovo-V14-Intel-Core-1215U/dp/B0DJCPSV47/ref=sr_1_82?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.GAxaxdVEnGIFnDC6HB3LSx8iHv0CR7xo_GwL2t13wki6AYYjwhoEIypuWEcWhd3BMJPacxJHY3N80oD_18nqq9n-F14n5lBYboTDXrz8bDRkwhWd0q46b1CZQaEtiw0mrssO4RORYjAvVaBabDhtEORgJBf1Ni539DDpJKZP9flDDpllvcdzAk2lKda8J7-R88gmJjZ2tR_BwKmCgfWiiqUJZycGotv3tv0ZNT5Nm2Q.C7aUGHjBG88fQ-vWpPKKBYjmrCzOkSAZQTgujmZPjoM&dib_tag=se&keywords=laptop&qid=1732034528&sprefix=laptops%2Caps%2C111&sr=8-82
8,"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon graphics, Backlit KB, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU  ","44,122",https://amazon.in//HP-15-6-inch-Graphics-Speakers-ey2001AU/dp/B0C9DDN2JB/ref=sr_1_83?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.GAxaxdVEnGIFnDC6HB3LSx8iHv0CR7xo_GwL2t13wki6AYYjwhoEIypuWEcWhd3BMJPacxJHY3N80oD_18nqq9n-F14n5lBYboTDXrz8bDRkwhWd0q46b1CZQaEtiw0mrssO4RORYjAvVaBabDhtEORgJBf1Ni539DDpJKZP9flDDpllvcdzAk2lKda8J7-R88gmJjZ2tR_BwKmCgfWiiqUJZycGotv3tv0ZNT5Nm2Q.C7aUGHjBG88fQ-vWpPKKBYjmrCzOkSAZQTgujmZPjoM&dib_tag=se&keywords=laptop&qid=1732034528&sprefix=laptops%2Caps%2C111&sr=8-83
9,"(Refurbished) Lenovo E480 7th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|14"" (35.6 cm) HD|Windows 11|MS Office|WiFi|BT|Webcam|Intel HD Graphics)  ","13,999",https://amazon.in//Refurbished-Lenovo-Laptop-Windows-Graphics/dp/B0DK7FJ84F/ref=sr_1_84?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.GAxaxdVEnGIFnDC6HB3LSx8iHv0CR7xo_GwL2t13wki6AYYjwhoEIypuWEcWhd3BMJPacxJHY3N80oD_18nqq9n-F14n5lBYboTDXrz8bDRkwhWd0q46b1CZQaEtiw0mrssO4RORYjAvVaBabDhtEORgJBf1Ni539DDpJKZP9flDDpllvcdzAk2lKda8J7-R88gmJjZ2tR_BwKmCgfWiiqUJZycGotv3tv0ZNT5Nm2Q.C7aUGHjBG88fQ-vWpPKKBYjmrCzOkSAZQTgujmZPjoM&dib_tag=se&keywords=laptop&qid=1732034528&sprefix=laptops%2Caps%2C111&sr=8-84
